Place,Magnitude,Link,Date
"15km W of Petrolia, CA",5.21,https://earthquake.usgs.gov/earthquakes/eventpage/nc73355700,1584569300920,2020-03-18 22:08:20
"246km S of Kangin, Indonesia",6.2,https://earthquake.usgs.gov/earthquakes/eventpage/us60008hzl,1584553538838,2020-03-18 17:45:38
"6km NNE of Magna, Utah",5.7,https://earthquake.usgs.gov/earthquakes/eventpage/uu60363602,1584536971530,2020-03-18 13:09:31
"158km WSW of Lata, Solomon Islands",5.5,https://earthquake.usgs.gov/earthquakes/eventpage/us60008hml,1584509493963,2020-03-18 05:31:33
"97km NNW of Sola, Vanuatu",6.1,https://earthquake.usgs.gov/earthquakes/eventpage/us60008hkg,1584501226088,2020-03-18 03:13:46
"142km N of Tobelo, Indonesia",5.4,https://earthquake.usgs.gov/earthquakes/eventpage/us60008hkf,1584501209295,2020-03-18 03:13:29
"172km E of Hihifo, Tonga",6,https://earthquake.usgs.gov/earthquakes/eventpage/us60008h76,1584461182225,2020-03-17 16:06:22
"53km NNW of Tome, Chile",5.6,https://earthquake.usgs.gov/earthquakes/eventpage/us60008gzt,1584432722987,2020-03-17 08:12:02
"195km SSE of Lata, Solomon Islands",5.1,https://earthquake.usgs.gov/earthquakes/eventpage/us60008g8y,1584315196226,2020-03-15 23:33:16
"95km WNW of Bandar 'Abbas, Iran",5.3,https://earthquake.usgs.gov/earthquakes/eventpage/us60008g7m,1584309865403,2020-03-15 22:04:25
"116km SW of Panenggoede, Indonesia",5.1,https://earthquake.usgs.gov/earthquakes/eventpage/us60008g6f,1584306332419,2020-03-15 21:05:32
"25km SW of Villa Comaltitlan, Mexico",5.1,https://earthquake.usgs.gov/earthquakes/eventpage/us60008fuy,1584235337338,2020-03-15 01:22:17
"298km NE of Raoul Island, New Zealand",6.3,https://earthquake.usgs.gov/earthquakes/eventpage/us60008fl8,1584180077383,2020-03-14 10:01:17
"4km SE of Puerto Armuelles, Panama",5.1,https://earthquake.usgs.gov/earthquakes/eventpage/us60008euj,1584074799405,2020-03-13 04:46:39
"86km ENE of Iquique, Chile",5.2,https://earthquake.usgs.gov/earthquakes/eventpage/us60008eru,1584065282620,2020-03-13 02:08:02
"107km WSW of San Nicolas, Philippines",5.2,https://earthquake.usgs.gov/earthquakes/eventpage/us60008epc,1584050447919,2020-03-12 22:00:47
"26km NNW of Nanao, Japan",5.3,https://earthquake.usgs.gov/earthquakes/eventpage/us60008egj,1584033526115,2020-03-12 17:18:46
"111km SE of Neiafu, Tonga",5.3,https://earthquake.usgs.gov/earthquakes/eventpage/us60008e9x,1584017430336,2020-03-12 12:50:30
"99km S of Wonosari, Indonesia",5.1,https://earthquake.usgs.gov/earthquakes/eventpage/us60008e67,1584000198752,2020-03-12 08:03:18
"112km SE of Neiafu, Tonga",5.3,https://earthquake.usgs.gov/earthquakes/eventpage/us60008dwq,1583956450022,2020-03-11 19:54:10
"70km S of Panguna, Papua New Guinea",5.3,https://earthquake.usgs.gov/earthquakes/eventpage/us60008dpf,1583939815980,2020-03-11 15:16:55
"134km SE of L'Esperance Rock, New Zealand",5.3,https://earthquake.usgs.gov/earthquakes/eventpage/us60008dgf,1583888507965,2020-03-11 01:01:47
"127km SW of Kuripan, Indonesia",5.5,https://earthquake.usgs.gov/earthquakes/eventpage/us60008d51,1583849185529,2020-03-10 14:06:25
"88km NNE of San Pedro de Atacama, Chile",5.1,https://earthquake.usgs.gov/earthquakes/eventpage/us60008d4v,1583847860456,2020-03-10 13:44:20
"209km NNW of Puerto Ayora, Ecuador",5.5,https://earthquake.usgs.gov/earthquakes/eventpage/us60008d3z,1583838828439,2020-03-10 11:13:48
